#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_11_pilon:92230-93261|+    -            344 18543                -            519   2.8e-26   89.4   0.3   1   1   2.4e-27   9.1e-26   87.7   0.3    26   226    22   217     3   230 0.90 contig_11_pilon_98 # 92230 # 93261 # 1 # ID=3_98;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
contig_1_pilon:310601-312133|-   -            511 18543                -            519   1.3e-25   87.3   4.1   1   4     7e-12   2.7e-10   36.7   0.2     6    66     3    63     1    70 0.93 contig_1_pilon_267 # 310601 # 312133 # -1 # ID=1_267;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1_pilon:310601-312133|-   -            511 18543                -            519   1.3e-25   87.3   4.1   2   4   8.3e-08   3.2e-06   23.3   0.0   402   483   158   236   134   267 0.83 contig_1_pilon_267 # 310601 # 312133 # -1 # ID=1_267;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1_pilon:310601-312133|-   -            511 18543                -            519   1.3e-25   87.3   4.1   3   4   2.9e-06   0.00011   18.1   0.0    25    66   339   380   335   391 0.90 contig_1_pilon_267 # 310601 # 312133 # -1 # ID=1_267;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1_pilon:310601-312133|-   -            511 18543                -            519   1.3e-25   87.3   4.1   4   4    0.0038      0.14    7.9   0.0   400   441   434   475   402   507 0.79 contig_1_pilon_267 # 310601 # 312133 # -1 # ID=1_267;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_2_pilon:993630-994265|+   -            212 18543                -            519   2.3e-25   86.4   0.1   1   1   7.1e-27   2.7e-25   86.2   0.1     7   211     2   203     1   207 0.90 contig_2_pilon_959 # 993630 # 994265 # 1 # ID=5_959;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_11_pilon:77364-78020|+    -            219 18543                -            519   8.7e-25   84.5   3.0   1   1   2.6e-25   9.9e-24   81.0   3.0     6   224     3   210     1   216 0.84 contig_11_pilon_82 # 77364 # 78020 # 1 # ID=3_82;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
contig_2_pilon:1166070-1166738|+ -            223 18543                -            519   1.2e-24   84.0   0.4   1   1   3.6e-26   1.4e-24   83.8   0.4     6   207     3   206     1   217 0.87 contig_2_pilon_1117 # 1166070 # 1166738 # 1 # ID=5_1117;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
contig_2_pilon:495156-497492|-   -            779 18543                -            519   1.2e-24   84.0   0.4   1   2     1e-25   3.9e-24   82.3   0.4     9   219     4   217     1   223 0.81 contig_2_pilon_466 # 495156 # 497492 # -1 # ID=5_466;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_2_pilon:495156-497492|-   -            779 18543                -            519   1.2e-24   84.0   0.4   2   2       3.2   1.2e+02   -1.8   0.0   267   296   453   482   438   507 0.73 contig_2_pilon_466 # 495156 # 497492 # -1 # ID=5_466;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
