	rna_bhi_rep1	rna_bhi_rep2	rna_bhi_rep3	rna_serum_rep1	rna_serum_rep2	rna_serum_rep3
EFM745_02459	937.328300789018	964.785036879638	929.716980676829	2740.70518745271	2826.23946306333	4116.45003070345
EFM745_02460	681.11307460058	721.775271951308	698.528019633392	1958.79811926767	1870.0004556375	2776.21048582326
EFM745_02461	570.785521686698	594.829872361882	610.219789878602	1469.38647865112	1460.0426167101	2181.61214805498
EFM745_02462	787.793435682599	761.672397536556	771.952839878947	1541.93455714251	1599.32949692399	2328.40028868472
EFM745_02463	474.134938142305	514.128868337175	467.339058589954	1391.08061615247	1354.34264378184	1973.13044107362
EFM745_02465	3679.10476039269	4172.87663507527	3952.04133835199	5195.82428814565	4876.02865770032	4881.23751702794
EFM745_02466	1229.10364733813	1159.73690053483	1099.3878490821	1873.58291596032	1841.3527994233	1864.63485886903
EFM745_02467	509.695058502978	630.193233676079	662.807836811229	962.701486012802	928.579201425912	881.79252595689
EFM745_02468	1592.91103256655	1402.74666546316	1273.02762668983	2190.26103635927	2017.19013756565	2229.47784608642
EFM745_02469	1977.68977082819	1752.75326718829	1816.76818742719	23266.0536165103	24622.1665910009	22521.3427648796
EFM745_02470	1581.05765911299	1589.53775343046	1642.13618251884	3874.98863688167	3748.89156320355	3554.82584046794
EFM745_02471	1604.76440602011	1536.94608788626	1413.92390337725	1566.11724997298	1609.20799906682	1595.52326771452
EFM745_02472	497.84168504942	447.029157125622	417.727693559173	453.713379771584	397.11578614172	411.645003070345
EFM745_02473	1662.20767737197	1671.14551030937	1602.44709049421	1714.66807736012	1770.22758399493	1764.64873409226
EFM745_02474	1496.26044902216	1580.47022488835	1503.22436043265	1947.28255125317	2063.61909763695	2066.73447277954
EFM745_02475	22776.71298999	22940.8472115177	22975.0231457545	5284.49416185735	5450.95748241296	5339.68453595125
EFM745_02476	179.624197719296	180.443817987827	194.47655092066	298.253211575736	268.695258284945	279.748412939279
EFM745_02477	11862.4914331373	11502.1599556562	11331.2357730303	6741.21351569251	6654.15904340951	6563.98272337752
EFM745_02478	2011.42629527293	2138.12323022762	2113.44415031126	2139.59253709544	2219.69943149364	2206.07683815994
EFM745_02479	30.089332612877	41.7106312936685	41.6735466258557	67.9418512855925	88.9065192854596	88.2856208135366
